episode: 1565, score: 0.0, epsilon: 0.05
episode: 1570, score: 0.0, epsilon: 0.05
episode: 1575, score: 0.0, epsilon: 0.05
episode: 1580, score: 0.0, epsilon: 0.05
episode: 1585, score: 350.0, epsilon: 0.05
episode: 1590, score: 500.0, epsilon: 0.05
episode: 1595, score: 250.0, epsilon: 0.05
marking, episode: 1600, score: 750.0, mean_score: 109.50, std_score: 154.22
episode: 1600, score: 750.0, epsilon: 0.05
episode: 1605, score: 350.0, epsilon: 0.05
episode: 1610, score: 0.0, epsilon: 0.05
episode: 1615, score: 250.0, epsilon: 0.05
episode: 1620, score: 0.0, epsilon: 0.05
episode: 1625, score: 0.0, epsilon: 0.05
episode: 1630, score: 500.0, epsilon: 0.05
episode: 1635, score: 350.0, epsilon: 0.05
episode: 1640, score: 250.0, epsilon: 0.05
episode: 1645, score: 250.0, epsilon: 0.05
episode: 1650, score: 750.0, epsilon: 0.05
episode: 1655, score: 500.0, epsilon: 0.05
episode: 1660, score: 100.0, epsilon: 0.05
episode: 1665, score: 0.0, epsilon: 0.05
episode: 1670, score: 100.0, epsilon: 0.05
episode: 1675, score: 0.0, epsilon: 0.05
episode: 1680, score: 100.0, epsilon: 0.05
episode: 1685, score: 0.0, epsilon: 0.05
episode: 1690, score: 0.0, epsilon: 0.05
episode: 1695, score: 0.0, epsilon: 0.05
marking, episode: 1700, score: 100.0, mean_score: 107.50, std_score: 174.27
episode: 1700, score: 100.0, epsilon: 0.05
episode: 1705, score: 0.0, epsilon: 0.05
episode: 1710, score: 0.0, epsilon: 0.05
episode: 1715, score: 250.0, epsilon: 0.05
episode: 1720, score: 100.0, epsilon: 0.05
episode: 1725, score: 0.0, epsilon: 0.05
episode: 1730, score: 0.0, epsilon: 0.05
episode: 1735, score: 0.0, epsilon: 0.05
episode: 1740, score: 0.0, epsilon: 0.05
episode: 1745, score: 250.0, epsilon: 0.05
episode: 1750, score: 0.0, epsilon: 0.05
episode: 1755, score: 0.0, epsilon: 0.05
episode: 1760, score: 0.0, epsilon: 0.05
episode: 1765, score: 0.0, epsilon: 0.05
episode: 1770, score: 250.0, epsilon: 0.05
episode: 1775, score: 0.0, epsilon: 0.05
episode: 1780, score: 100.0, epsilon: 0.05
episode: 1785, score: 0.0, epsilon: 0.05
episode: 1790, score: 0.0, epsilon: 0.05
episode: 1795, score: 100.0, epsilon: 0.05
marking, episode: 1800, score: 250.0, mean_score: 66.50, std_score: 120.43
episode: 1800, score: 250.0, epsilon: 0.05
episode: 1805, score: 0.0, epsilon: 0.05
episode: 1810, score: 0.0, epsilon: 0.05
episode: 1815, score: 0.0, epsilon: 0.05
episode: 1820, score: 0.0, epsilon: 0.05
episode: 1825, score: 250.0, epsilon: 0.05
episode: 1830, score: 0.0, epsilon: 0.05
episode: 1835, score: 0.0, epsilon: 0.05
episode: 1840, score: 100.0, epsilon: 0.05
episode: 1845, score: 0.0, epsilon: 0.05
episode: 1850, score: 0.0, epsilon: 0.05
episode: 1855, score: 0.0, epsilon: 0.05
episode: 1860, score: 100.0, epsilon: 0.05
episode: 1865, score: 0.0, epsilon: 0.05
episode: 1870, score: 0.0, epsilon: 0.05
episode: 1875, score: 750.0, epsilon: 0.05
episode: 1880, score: 0.0, epsilon: 0.05
episode: 1885, score: 600.0, epsilon: 0.05
episode: 1890, score: 200.0, epsilon: 0.05
episode: 1895, score: 250.0, epsilon: 0.05
marking, episode: 1900, score: 500.0, mean_score: 112.50, std_score: 182.40
episode: 1900, score: 500.0, epsilon: 0.05
episode: 1905, score: 100.0, epsilon: 0.05
episode: 1910, score: 100.0, epsilon: 0.05
episode: 1915, score: 0.0, epsilon: 0.05
episode: 1920, score: 0.0, epsilon: 0.05
episode: 1925, score: 100.0, epsilon: 0.05
episode: 1930, score: 0.0, epsilon: 0.05
episode: 1935, score: 0.0, epsilon: 0.05
episode: 1940, score: 0.0, epsilon: 0.05
episode: 1945, score: 250.0, epsilon: 0.05
episode: 1950, score: 100.0, epsilon: 0.05
episode: 1955, score: 0.0, epsilon: 0.05
episode: 1960, score: 100.0, epsilon: 0.05
episode: 1965, score: 250.0, epsilon: 0.05
episode: 1970, score: 0.0, epsilon: 0.05
episode: 1975, score: 0.0, epsilon: 0.05
episode: 1980, score: 0.0, epsilon: 0.05
episode: 1985, score: 0.0, epsilon: 0.05
episode: 1990, score: 100.0, epsilon: 0.05
episode: 1995, score: 0.0, epsilon: 0.05
marking, episode: 2000, score: 0.0, mean_score: 129.50, std_score: 165.69
episode: 2000, score: 0.0, epsilon: 0.05
episode: 2005, score: 0.0, epsilon: 0.05
episode: 2010, score: 600.0, epsilon: 0.05
episode: 2015, score: 250.0, epsilon: 0.05
episode: 2020, score: 0.0, epsilon: 0.05
episode: 2025, score: 250.0, epsilon: 0.05
episode: 2030, score: 0.0, epsilon: 0.05
episode: 2035, score: 0.0, epsilon: 0.05
episode: 2040, score: 0.0, epsilon: 0.05
episode: 2045, score: 0.0, epsilon: 0.05
episode: 2050, score: 0.0, epsilon: 0.05
episode: 2055, score: 0.0, epsilon: 0.05
episode: 2060, score: 500.0, epsilon: 0.05
episode: 2065, score: 250.0, epsilon: 0.05
episode: 2070, score: 0.0, epsilon: 0.05
episode: 2075, score: 0.0, epsilon: 0.05
episode: 2080, score: 500.0, epsilon: 0.05
episode: 2085, score: 100.0, epsilon: 0.05
episode: 2090, score: 0.0, epsilon: 0.05
episode: 2095, score: 0.0, epsilon: 0.05
marking, episode: 2100, score: 250.0, mean_score: 167.50, std_score: 201.17
episode: 2100, score: 250.0, epsilon: 0.05
episode: 2105, score: 0.0, epsilon: 0.05
episode: 2110, score: 600.0, epsilon: 0.05
episode: 2115, score: 250.0, epsilon: 0.05
episode: 2120, score: 0.0, epsilon: 0.05
episode: 2125, score: 0.0, epsilon: 0.05
episode: 2130, score: 100.0, epsilon: 0.05
episode: 2135, score: 250.0, epsilon: 0.05
episode: 2140, score: 450.0, epsilon: 0.05
episode: 2145, score: 100.0, epsilon: 0.05
episode: 2150, score: 450.0, epsilon: 0.05
episode: 2155, score: 0.0, epsilon: 0.05
episode: 2160, score: 350.0, epsilon: 0.05
episode: 2165, score: 0.0, epsilon: 0.05
episode: 2170, score: 0.0, epsilon: 0.05
episode: 2175, score: 100.0, epsilon: 0.05
episode: 2180, score: 0.0, epsilon: 0.05
episode: 2185, score: 0.0, epsilon: 0.05
episode: 2190, score: 0.0, epsilon: 0.05
episode: 2195, score: 0.0, epsilon: 0.05
marking, episode: 2200, score: 0.0, mean_score: 129.50, std_score: 166.15
episode: 2200, score: 0.0, epsilon: 0.05
episode: 2205, score: 0.0, epsilon: 0.05
episode: 2210, score: 0.0, epsilon: 0.05
episode: 2215, score: 250.0, epsilon: 0.05
episode: 2220, score: 0.0, epsilon: 0.05
episode: 2225, score: 250.0, epsilon: 0.05
episode: 2230, score: 100.0, epsilon: 0.05
episode: 2235, score: 100.0, epsilon: 0.05
episode: 2240, score: 0.0, epsilon: 0.05
episode: 2245, score: 350.0, epsilon: 0.05
episode: 2250, score: 0.0, epsilon: 0.05
episode: 2255, score: 700.0, epsilon: 0.05
episode: 2260, score: 0.0, epsilon: 0.05
episode: 2265, score: 0.0, epsilon: 0.05
episode: 2270, score: 0.0, epsilon: 0.05
episode: 2275, score: 250.0, epsilon: 0.05
episode: 2280, score: 0.0, epsilon: 0.05
episode: 2285, score: 350.0, epsilon: 0.05
episode: 2290, score: 0.0, epsilon: 0.05
episode: 2295, score: 0.0, epsilon: 0.05
marking, episode: 2300, score: 0.0, mean_score: 142.50, std_score: 180.61
episode: 2300, score: 0.0, epsilon: 0.05
episode: 2305, score: 250.0, epsilon: 0.05
episode: 2310, score: 500.0, epsilon: 0.05
episode: 2315, score: 0.0, epsilon: 0.05
episode: 2320, score: 350.0, epsilon: 0.05
episode: 2325, score: 750.0, epsilon: 0.05
episode: 2330, score: 600.0, epsilon: 0.05
episode: 2335, score: 0.0, epsilon: 0.05
episode: 2340, score: 0.0, epsilon: 0.05
episode: 2345, score: 0.0, epsilon: 0.05
episode: 2350, score: 250.0, epsilon: 0.05
episode: 2355, score: 350.0, epsilon: 0.05
episode: 2360, score: 0.0, epsilon: 0.05
episode: 2365, score: 0.0, epsilon: 0.05
episode: 2370, score: 0.0, epsilon: 0.05
episode: 2375, score: 650.0, epsilon: 0.05
episode: 2380, score: 250.0, epsilon: 0.05
episode: 2385, score: 600.0, epsilon: 0.05
episode: 2390, score: 250.0, epsilon: 0.05
episode: 2395, score: 0.0, epsilon: 0.05
marking, episode: 2400, score: 0.0, mean_score: 169.00, std_score: 206.25
episode: 2400, score: 0.0, epsilon: 0.05
episode: 2405, score: 100.0, epsilon: 0.05
episode: 2410, score: 0.0, epsilon: 0.05
episode: 2415, score: 0.0, epsilon: 0.05
episode: 2420, score: 100.0, epsilon: 0.05
episode: 2425, score: 0.0, epsilon: 0.05
episode: 2430, score: 0.0, epsilon: 0.05
episode: 2435, score: 100.0, epsilon: 0.05
episode: 2440, score: 250.0, epsilon: 0.05
episode: 2445, score: 0.0, epsilon: 0.05
episode: 2450, score: 0.0, epsilon: 0.05
episode: 2455, score: 0.0, epsilon: 0.05
episode: 2460, score: 0.0, epsilon: 0.05
episode: 2465, score: 450.0, epsilon: 0.05
episode: 2470, score: 0.0, epsilon: 0.05
episode: 2475, score: 0.0, epsilon: 0.05
episode: 2480, score: 350.0, epsilon: 0.05
episode: 2485, score: 250.0, epsilon: 0.05
episode: 2490, score: 0.0, epsilon: 0.05
episode: 2495, score: 0.0, epsilon: 0.05
marking, episode: 2500, score: 100.0, mean_score: 171.00, std_score: 202.38
episode: 2500, score: 100.0, epsilon: 0.05
episode: 2505, score: 0.0, epsilon: 0.05
episode: 2510, score: 750.0, epsilon: 0.05
episode: 2515, score: 100.0, epsilon: 0.05
episode: 2520, score: 500.0, epsilon: 0.05
episode: 2525, score: 0.0, epsilon: 0.05
episode: 2530, score: 0.0, epsilon: 0.05
episode: 2535, score: 0.0, epsilon: 0.05
episode: 2540, score: 0.0, epsilon: 0.05
episode: 2545, score: 0.0, epsilon: 0.05
episode: 2550, score: 100.0, epsilon: 0.05
episode: 2555, score: 600.0, epsilon: 0.05
episode: 2560, score: 0.0, epsilon: 0.05
episode: 2565, score: 250.0, epsilon: 0.05
episode: 2570, score: 0.0, epsilon: 0.05
episode: 2575, score: 450.0, epsilon: 0.05
episode: 2580, score: 500.0, epsilon: 0.05
episode: 2585, score: 0.0, epsilon: 0.05
episode: 2590, score: 0.0, epsilon: 0.05
episode: 2595, score: 800.0, epsilon: 0.05
marking, episode: 2600, score: 0.0, mean_score: 207.00, std_score: 249.90
episode: 2600, score: 0.0, epsilon: 0.05
episode: 2605, score: 600.0, epsilon: 0.05
episode: 2610, score: 0.0, epsilon: 0.05
episode: 2615, score: 0.0, epsilon: 0.05
episode: 2620, score: 250.0, epsilon: 0.05
episode: 2625, score: 0.0, epsilon: 0.05
episode: 2630, score: 0.0, epsilon: 0.05
episode: 2635, score: 250.0, epsilon: 0.05
episode: 2640, score: 350.0, epsilon: 0.05
episode: 2645, score: 500.0, epsilon: 0.05
episode: 2650, score: 0.0, epsilon: 0.05
episode: 2655, score: 250.0, epsilon: 0.05
episode: 2660, score: 250.0, epsilon: 0.05
episode: 2665, score: 0.0, epsilon: 0.05
episode: 2670, score: 200.0, epsilon: 0.05
episode: 2675, score: 0.0, epsilon: 0.05
episode: 2680, score: 250.0, epsilon: 0.05
episode: 2685, score: 500.0, epsilon: 0.05
episode: 2690, score: 250.0, epsilon: 0.05
